OBJECTID,MES,SEMBRADO,PREPARADO,SV,POINT_X,POINT_Y,B3,B4,B8,B11,NDVI,NDMI,STATUS,HUMEDAD,TEMPERATUR,HUM_ORD,TEMP_ORD,MES_ORD,STATUS_ORD
445,ENERO,1,0,0,-100.2755291,20.74969194,1153.491667,940.5416667,4228.416667,1525.058333,0.677746,0.450638,SEMBRADO,BAJA,BAJA,1,3,1,3
446,ENERO,1,0,0,-100.2948623,20.71764437,1142.75,928.2666667,4371.65,1409.091667,0.685861,0.51372,SEMBRADO,BAJA,BAJA,1,3,1,3
447,ENERO,1,0,0,-100.2989743,20.72357322,1274.166667,1255.933333,3181.716667,1931.775,0.405492,0.178517,SEMBRADO,BAJA,BAJA,1,3,1,3
448,ENERO,1,0,0,-100.300402,20.71929019,1304.316667,1252.425,3591.016667,1926.808333,0.463587,0.250436,SEMBRADO,BAJA,BAJA,1,3,1,3
449,ENERO,1,0,0,-100.3370076,20.74144773,1258.975,1029.85,4308.633333,1512.483333,0.706512,0.483229,SEMBRADO,BAJA,BAJA,1,3,1,3
450,ENERO,1,0,0,-100.3356371,20.74498837,1316.916667,1263.816667,2838.233333,1836.75,0.404902,0.142209,SEMBRADO,BAJA,BAJA,1,3,1,3
451,ENERO,1,0,0,-100.3351231,20.74641604,1271.025,1199.233333,2973.091667,1666.458333,0.412729,0.170306,SEMBRADO,BAJA,BAJA,1,3,1,3
452,ENERO,1,0,0,-100.3331243,20.74601629,1423.5,1341.433333,2913.116667,1835.641667,0.42937,0.191993,SEMBRADO,BAJA,BAJA,1,3,1,3
453,ENERO,1,0,0,-100.2613327,20.54501589,873.7333333,560.7666667,4277.15,1478.983333,0.762108,0.475313,SEMBRADO,BAJA,BAJA,1,3,1,3
454,ENERO,1,0,0,-100.2606189,20.54858508,871.5,675.2,3110.9,1582.25,0.566088,0.247217,SEMBRADO,BAJA,BAJA,1,3,1,3
455,ENERO,1,0,0,-100.2584773,20.54216053,893.7833333,643.7333333,2752.633333,1391.6,0.592397,0.297833,SEMBRADO,BAJA,BAJA,1,3,1,3
456,ENERO,1,0,0,-100.2342068,20.53906724,917.9027778,775.9097222,2446.0625,1257.875,0.522135,0.31705,SEMBRADO,BAJA,BAJA,1,3,1,3
